backend,spec,run_idx,elapsed_ns,gen_lines
zig,timing_closure,1,1761318,157
zig,timing_closure,2,1696286,157
zig,timing_closure,3,1732892,157
zig,timing_closure,4,1708510,157
zig,topology_visualizer,0,1950997,211
zig,topology_visualizer,1,1920920,211
zig,topology_visualizer,2,1892615,211
zig,topology_visualizer,3,1951983,211
zig,topology_visualizer,4,1938414,211
zig,traffic_animator,0,2067687,243
zig,traffic_animator,1,2085279,243
zig,traffic_animator,2,2056534,243
zig,traffic_animator,3,2031880,243
zig,traffic_animator,4,2033748,243
zig,failure_predictor,0,1908327,224
zig,failure_predictor,1,1910436,224
zig,failure_predictor,2,1873968,224
zig,failure_predictor,3,1954435,224
zig,failure_predictor,4,1946780,224
zig,hardware_validation,0,1725696,145
zig,hardware_validation,1,1688531,145
zig,hardware_validation,2,1777616,145
zig,hardware_validation,3,1728661,145
zig,hardware_validation,4,1772584,145
zig,integration_framework,0,2140017,305
zig,integration_framework,1,2072423,305
zig,integration_framework,2,2058165,305
zig,integration_framework,3,2034994,305
zig,integration_framework,4,2152295,305
zig,network_analytics,0,1808653,178
zig,network_analytics,1,1738614,178
zig,network_analytics,2,1823121,178
zig,network_analytics,3,1758694,178
zig,network_analytics,4,1812127,178
zig,packet_loss_injection,0,1611441,121
zig,packet_loss_injection,1,1669359,121
zig,packet_loss_injection,2,1611875,121
zig,packet_loss_injection,3,1632565,121
zig,packet_loss_injection,4,1593979,121
zig,test_validator,0,1983517,225
zig,test_validator,1,1900748,225
zig,test_validator,2,1919417,225
zig,test_validator,3,1889603,225
zig,test_validator,4,1939317,225
c,wire,0,1537602,128
c,wire,1,1584527,128
c,wire,2,1520608,128
c,wire,3,1579222,128
c,wire,4,1572628,128
c,hello,0,1749280,154
c,hello,1,1755245,154
c,hello,2,1707202,154
c,hello,3,1731266,154
c,hello,4,1752563,154
c,etx,0,1676090,145
c,etx,1,1602105,145
c,etx,2,1587300,145
c,etx,3,1601904,145
c,etx,4,1583343,145
c,crc16,0,1557612,95
c,crc16,1,1502533,95
c,crc16,2,1549191,95
